id_pengguna,email,password,id_peran
1,petugas1@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
2,petugas2@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
3,petugas3@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
4,petugas4@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
5,petugas5@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
6,petugas6@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
7,petugas7@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
8,petugas8@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
9,petugas9@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
10,petugas10@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p2
11,pegawai1@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
12,pegawai2@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
13,pegawai3@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
14,pegawai4@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
15,pegawai5@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
16,pegawai6@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
17,pegawai7@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
18,pegawai8@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
19,pegawai9@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
20,pegawai10@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
21,pegawai11@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
22,pegawai12@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p1
23,admin@gmail.com,$2a$12$9FvYAtoAUev9C4ssBWO3IOKOEKlvAbvBXX1dxWGesBQeQ2.Nhmqni,p3
